This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
c75a021c38a0b1e7eaafb2b79c6b64de0fd9f05366d92569c6917d2f2669ceec 5 5 132391 137
257b13a8514007a05399cdbe8690a28c4c8c33f2d0a1f5a2b627babd730ac0ab 95 1 13 1
a32ff119e7c82a547688d74dad6ca5c6fb1383ce006b125476db881d2f008200 35 34 77257 5760
0562710e00357ae767fa94481854c0bd70b1b2c71067e3945a8f6aca3a5b69e3 3 3 7771 301
577535188878b83edea48f4c8060e21dabb7d1455fb7900b55ed340051f14997 37 36 493910 54171
e433bf65e84b801383db6cf6b629d04b169e2cf37d30272a70498ae0eee2e6f7 11 6 758 172
ba8f485de51a130faceeb3ff7b3e84adcb1431ab10e3084796b5c72b68b10974 1 1 180 0
d75ac8b24448736312c69ffc7d6deaca77016e2dcc656fe6ae55172eace37a68 3 3 37774 68
99a3b5f18c20395ccb762336b343732873a35cd59e01453d27ae5c6e87f9c9d7 7 7 1494 662
e47baa8790eef3b8cc6f233ce5c3a2736f408c7f2db6eb7c0828819527133aa1 1 1 209 0
d09af707d334e01a67cfc4e45e8138d7dcc985f534421e844d0d761a259689fd 1 1 125119 0
3f98499d00c00e4f124079016f2289eea7b423528a7bbddc4ed2c350c7727b07 19 13 155615 152309
962fdbc2c9bf3bccedb9aceda8560bd147acdb01d03165878975ce2be63c74fb 5 5 148099 3161
18b059471ae7bbde7e11feec2f5d249ba3bc96c92df1b3822f4c09b4de61e604 3 3 9349 9
9e1a9071548e7229838a23933839e2decd0a9ac272854302f690a8fc8d785e0d 12 12 200080 4493
25224591224c93ff58bcfcde3f372c547cfad4ea0761c7dad0c2d792e1b60659 2 2 95 0
b967758224a84bfb8d56c84fcbe7291f61560b51539656b65e05bc5cb6187c83 14 14 305146 33615
5fb115e5d13fa7d81f6e8e2b22ebda1d562ad7c8d99ee081814cf433732ef1cb 2 2 242445 72
0c27c1c6edeb7442e9e6f600f33d22b5e8482104e8ddc39e8a96e40a4232b72e 108 108 234336 31122
